PassengerId,CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Cabin_Num,Group_ID,Group_Size,Is_Alone,Total_Spending,Has_Spent,Is_Child,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,Cabin_Deck_A,Cabin_Deck_B,Cabin_Deck_C,Cabin_Deck_D,Cabin_Deck_E,Cabin_Deck_F,Cabin_Deck_G,Cabin_Deck_T,Cabin_Side_P,Cabin_Side_S,Age_Group_0-5,Age_Group_13-18,Age_Group_19-35,Age_Group_36-55,Age_Group_55+,Age_Group_6-12
0001_01,0,39.0,0,0.0,0.0,0.0,0.0,0.0,False,0,0001,1,1,0.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0002_01,0,24.0,0,109.0,9.0,25.0,549.0,44.0,True,0,0002,1,1,736.0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
0003_01,0,58.0,1,43.0,3576.0,0.0,6715.0,49.0,False,0,0003,2,0,10383.0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0003_02,0,33.0,0,0.0,1283.0,371.0,3329.0,193.0,False,0,0003,2,0,5176.0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0004_01,0,16.0,0,303.0,70.0,151.0,565.0,2.0,True,1,0004,1,1,1091.0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
0005_01,0,44.0,0,0.0,483.0,0.0,291.0,0.0,True,0,0005,1,1,774.0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
0006_01,0,26.0,0,42.0,1539.0,3.0,0.0,0.0,True,2,0006,2,0,1584.0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
0006_02,1,28.0,0,0.0,0.0,0.0,0.0,0.0,True,0,0006,2,0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
0007_01,0,35.0,0,0.0,785.0,17.0,216.0,0.0,True,3,0007,1,1,1018.0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
0008_01,1,14.0,0,0.0,0.0,0.0,0.0,0.0,True,1,0008,3,0,0.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0008_02,1,34.0,0,0.0,0.0,0.0,0.0,0.0,True,1,0008,3,0,0.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0008_03,0,45.0,0,39.0,7295.0,589.0,110.0,124.0,True,1,0008,3,0,8157.0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0009_01,0,32.0,0,73.0,0.0,1123.0,0.0,113.0,True,1,0009,1,1,1309.0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0010_01,0,48.0,0,719.0,1.0,65.0,0.0,24.0,False,1,0010,1,1,809.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
0011_01,0,28.0,0,8.0,974.0,12.0,2.0,7.0,True,2,0011,1,1,1003.0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
